STATION,NAME,DATE,PRCP,TAVG
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/1/17,0.43,35
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/2/17,0,32
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/3/17,0,27
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/4/17,0,27
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/5/17,0,28
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/6/17,0,29
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/7/17,0,33
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/8/17,0.45,37
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/9/17,0.05,39
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/10/17,0.07,37
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/11/17,0,32
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/12/17,0,31
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/13/17,0,31
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/14/17,0,34
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/15/17,0,34
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/16/17,0,36
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/17/17,1.74,43
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/18/17,1.21,46
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/19/17,0.09,46
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/20/17,0,46
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/21/17,0.05,45
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/22/17,0.08,45
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/23/17,0,41
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/24/17,0,37
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/25/17,0,38
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/26/17,0,43
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/27/17,0,44
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/28/17,0,45
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/29/17,0.03,43
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/30/17,0.02,44
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",1/31/17,0,41
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2/1/17,0,36
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2/2/17,0.01,38
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2/3/17,0.7,37
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2/4/17,0.94,41
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2/5/17,0.82,39
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2/6/17,0.65,33
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2/7/17,0.01,35
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2/8/17,0.7,36
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2/9/17,1.63,44
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2/10/17,0.02,47
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2/11/17,0,41
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2/12/17,0,41
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2/13/17,0,42
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2/14/17,0.23,45
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2/15/17,1.63,49
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2/16/17,0.5,51
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2/17/17,0.01,48
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2/18/17,0.15,44
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2/19/17,0.06,44
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2/20/17,0.2,43
USW00024233,"SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US",2/21/17,0.07,43
