"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2019-01-01","2.01",",,W","0.00",",,W,2400","38","H,,S",,,,,,,,,"    1",",,W",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2019-01-02","6.93",",,W","0.04",",,W,2400","37","H,,S","    1",",,W",,,,,,,"    1",",,W",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2019-01-03","11.18",",,W","0.78",",,W,2400","47","H,,S","    1",",,W",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2019-01-04","11.41",",,W","0.08",",,W,2400","51","H,,S",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2019-01-05","4.03",",,W","0.04",",,W,2400","46","H,,S",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2019-01-06","12.75",",,W","0.40",",,W,2400","45","H,,S","    1",",,W",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2019-01-07","10.07",",,W","0.00",",,W,2400","40","H,,S",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2019-01-08","10.51",",,W","0.15",",,W,2400","41","H,,S",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2019-01-09","10.51",",,W","0.20",",,W,2400","47","H,,S",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2019-01-10","7.83",",,W","0.26",",,W,2400","50","H,,S","    1",",,W",,,,,,,"    1",",,W",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2019-01-11","7.61",",,W","0.00",",,W,2400","51","H,,S",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2019-01-12","5.37",",,W","0.00",",,W,2400","51","H,,S","    1",",,W",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2019-01-13","6.93",",,W","0.00",",,W,2400","47","H,,S",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2019-01-14","6.49",",,W","0.00",",,W,2400","43","H,,S","    1",",,W",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2019-01-15","3.36",",,W","0.00",",,W,2400","39","H,,S","    1",",,W","    1",",,W",,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2019-01-16","9.17",",,W","0.00",",,W,2400","44","H,,S",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2019-01-17","12.97",",,W","0.05",",,W,2400","51","H,,S",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2019-01-18","10.29",",,W","0.41",",,W,2400","50","H,,S","    1",",,W",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2019-01-19","11.41",",,W","0.10",",,W,2400","48","H,,S","    1",",,W",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2019-01-20","7.38",",,W","0.00",",,W,2400","44","H,,S",,,,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2019-01-21","4.25",",,W","0.00",",,W,2400","41","H,,S","    1",",,W",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2019-01-22","10.96",",,W","0.85",",,W,2400","43","H,,S","    1",",,W",,,,,,,"    1",",,W",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2019-01-23","8.05",",,W","0.37",",,W,2400","48","H,,S","    1",",,W",,,,,,,"    1",",,W",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2019-01-24","3.36",",,W","0.09",",,W,2400","46","H,,S","    1",",,W",,,,,,,"    1",",,W",,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2019-01-25","4.92",",,W","0.00",",,W,2400","44","H,,S","    1",",,W",,,,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2019-01-26","7.16",",,W","0.00",",,W,2400","42","H,,S","    1",",,W","    1",",,W",,,,,,,,
"USW00024233","SEATTLE TACOMA INTERNATIONAL AIRPORT, WA US","47.4444","-122.3138","112.8","2019-01-27","7.16",",,W","0.00",",,W,2400","41","H,,S","    1",",,W","    1",",,W",,,,,,,,
